measure,interval_start,interval_end,ratio,numerator,denominator,num_weeks
count_post,2000-02-05,2000-02-11,0.344418052,290,842,21
count_post,2000-02-05,2000-02-11,0.377317339,346,917,32
count_post,2000-02-05,2000-02-11,0.336040609,331,985,35
count_post,2000-02-05,2000-02-11,0.271899886,239,879,19
count_post,2000-02-05,2000-02-11,0.313772455,262,835,51
count_post,2000-02-05,2000-02-11,0.250257467,243,971,31
count_post,2000-02-05,2000-02-11,0.350769231,342,975,20
count_post,2000-02-12,2000-02-18,0.46097561,378,820,9
count_post,2000-02-12,2000-02-18,0.257754011,241,935,7
count_post,2000-02-12,2000-02-18,0.303030303,250,825,30
count_post,2000-02-12,2000-02-18,0.268585132,224,834,28
count_post,2000-02-12,2000-02-18,0.476368159,383,804,15
count_post,2000-02-12,2000-02-18,0.247734139,246,993,21
count_post,2000-02-12,2000-02-18,0.385480573,377,978,32
count_post,2000-02-12,2000-02-18,0.403885481,395,978,35
count_post,2000-02-12,2000-02-18,0.330396476,300,908,19
count_post,2000-02-12,2000-02-18,0.330985915,329,994,51
count_post,2000-02-12,2000-02-18,0.269230769,252,936,31
count_post,2000-02-12,2000-02-18,0.319062181,313,981,20
count_post,2000-02-19,2000-02-25,0.357502518,355,993,9
count_post,2000-02-19,2000-02-25,0.319105691,314,984,7
count_post,2000-02-19,2000-02-25,0.402714932,356,884,30
count_post,2000-02-19,2000-02-25,0.46311971,383,827,28
count_post,2000-02-19,2000-02-25,0.467213115,399,854,15
count_post,2000-02-19,2000-02-25,0.265957447,250,940,21
count_post,2000-02-19,2000-02-25,0.252771619,228,902,32
count_post,2000-02-19,2000-02-25,0.229910714,206,896,35
count_post,2000-02-19,2000-02-25,0.319706499,305,954,19
count_post,2000-02-19,2000-02-25,0.405750799,381,939,51
count_post,2000-02-19,2000-02-25,0.357,357,1000,31
count_post,2000-02-19,2000-02-25,0.229471316,204,889,20
count_post,2000-02-26,2000-03-03,0.317575758,262,825,9
count_post,2000-02-26,2000-03-03,0.317955112,255,802,7
count_post,2000-02-26,2000-03-03,0.263274336,238,904,30
count_post,2000-02-26,2000-03-03,0.234960272,207,881,28
count_post,2000-02-26,2000-03-03,0.290084388,275,948,15
count_post,2000-02-26,2000-03-03,0.286307054,276,964,21
count_post,2000-02-26,2000-03-03,0.447015834,367,821,32
count_post,2000-02-26,2000-03-03,0.444827586,387,870,35
count_post,2000-02-26,2000-03-03,0.480582524,396,824,19
count_post,2000-02-26,2000-03-03,0.24494382,218,890,51
count_post,2000-02-26,2000-03-03,0.322175732,308,956,31
count_post,2000-02-26,2000-03-03,0.305496829,289,946,20
count_post,2000-03-04,2000-03-10,0.3217012,295,917,9
count_post,2000-03-04,2000-03-10,0.380688124,343,901,7
count_post,2000-03-04,2000-03-10,0.371244635,346,932,30
count_post,2000-03-04,2000-03-10,0.285714286,230,805,28
count_post,2000-03-04,2000-03-10,0.294701987,267,906,15
count_post,2000-03-04,2000-03-10,0.420745921,361,858,21
count_post,2000-03-04,2000-03-10,0.393386545,345,877,32
count_post,2000-03-04,2000-03-10,0.416122004,382,918,35
count_post,2000-03-04,2000-03-10,0.329591837,323,980,19
count_post,2000-03-04,2000-03-10,0.452184179,383,847,51
count_post,2000-03-04,2000-03-10,0.35875,287,800,31
count_post,2000-03-04,2000-03-10,0.346325167,311,898,20
count_post,2000-03-11,2000-03-17,0.239001189,201,841,9
count_post,2000-03-11,2000-03-17,0.439411099,388,883,7
count_post,2000-03-11,2000-03-17,0.354189944,317,895,30
count_post,2000-03-11,2000-03-17,0.232954545,205,880,28
count_post,2000-03-11,2000-03-17,0.415800416,400,962,15
count_post,2000-03-11,2000-03-17,0.320850202,317,988,21
count_post,2000-03-11,2000-03-17,0.399784483,371,928,32
count_post,2000-03-11,2000-03-17,0.368995633,338,916,35
count_post,2000-03-11,2000-03-17,0.34772979,314,903,19
count_post,2000-03-11,2000-03-17,0.307614213,303,985,51
count_post,2000-03-11,2000-03-17,0.246968026,224,907,31
count_post,2000-03-11,2000-03-17,0.470873786,388,824,20
count_post,2000-03-18,2000-03-24,0.444976077,372,836,9
count_post,2000-03-18,2000-03-24,0.223300971,207,927,7
count_post,2000-03-18,2000-03-24,0.303652968,266,876,30
count_post,2000-03-18,2000-03-24,0.256771398,237,923,28
count_post,2000-03-18,2000-03-24,0.399777283,359,898,15
count_post,2000-03-18,2000-03-24,0.447795824,386,862,21
count_post,2000-03-18,2000-03-24,0.273113709,257,941,32
count_post,2000-03-18,2000-03-24,0.384854772,371,964,35
count_post,2000-03-18,2000-03-24,0.226315789,215,950,19
count_post,2000-03-18,2000-03-24,0.418677859,399,953,51
count_post,2000-03-18,2000-03-24,0.215351812,202,938,31
count_post,2000-03-18,2000-03-24,0.350580781,332,947,20
count_post,2000-03-25,2000-03-31,0.264064294,230,871,9
count_post,2000-03-25,2000-03-31,0.344973545,326,945,7
count_post,2000-03-25,2000-03-31,0.360042735,337,936,30
count_post,2000-03-25,2000-03-31,0.235477178,227,964,28
count_post,2000-03-25,2000-03-31,0.402934537,357,886,15
count_post,2000-03-25,2000-03-31,0.347972973,309,888,21
count_post,2000-03-25,2000-03-31,0.424205379,347,818,32
count_post,2000-03-25,2000-03-31,0.216842105,206,950,35
count_post,2000-03-25,2000-03-31,0.443935927,388,874,19
count_post,2000-03-25,2000-03-31,0.4225,338,800,51
count_post,2000-03-25,2000-03-31,0.308295964,275,892,31
count_post,2000-03-25,2000-03-31,0.233552632,213,912,20
count_post,2000-04-01,2000-04-07,0.475390156,396,833,9
count_post,2000-04-01,2000-04-07,0.481347774,400,831,7
count_post,2000-04-01,2000-04-07,0.425030979,343,807,30
count_post,2000-04-01,2000-04-07,0.426086957,392,920,28
count_post,2000-04-01,2000-04-07,0.227087576,223,982,15
count_post,2000-04-01,2000-04-07,0.204204204,204,999,21
count_post,2000-04-01,2000-04-07,0.294176707,293,996,32
count_post,2000-04-01,2000-04-07,0.403282532,344,853,35
count_post,2000-04-01,2000-04-07,0.327664399,289,882,19
count_post,2000-04-01,2000-04-07,0.307196563,286,931,51
count_post,2000-04-01,2000-04-07,0.364016736,348,956,31
count_post,2000-04-01,2000-04-07,0.289205703,284,982,20
count_post,2000-04-08,2000-04-14,0.256207675,227,886,9
count_post,2000-04-08,2000-04-14,0.281990521,238,844,7
count_post,2000-04-08,2000-04-14,0.344701583,283,821,30
count_post,2000-04-08,2000-04-14,0.251762336,250,993,28
count_post,2000-04-08,2000-04-14,0.268935236,245,911,15
count_post,2000-04-08,2000-04-14,0.31714876,307,968,21
count_post,2000-04-08,2000-04-14,0.432786885,396,915,32
count_post,2000-04-08,2000-04-14,0.297297297,253,851,35
count_post,2000-04-08,2000-04-14,0.334763948,312,932,19
count_post,2000-04-08,2000-04-14,0.256306761,254,991,51
count_post,2000-04-08,2000-04-14,0.446886447,366,819,31
count_post,2000-04-08,2000-04-14,0.442663379,359,811,20
count_post,2000-04-15,2000-04-21,0.47318236,397,839,9
count_post,2000-04-15,2000-04-21,0.388700565,344,885,7
count_post,2000-04-15,2000-04-21,0.448402948,365,814,30
count_post,2000-04-15,2000-04-21,0.36829559,309,839,28
count_post,2000-04-15,2000-04-21,0.352260778,335,951,15
count_post,2000-04-15,2000-04-21,0.266370699,240,901,21
count_post,2000-04-15,2000-04-21,0.397522523,353,888,32
count_post,2000-04-15,2000-04-21,0.31403118,282,898,35
count_post,2000-04-15,2000-04-21,0.388548057,380,978,19
count_post,2000-04-15,2000-04-21,0.286066584,232,811,51
count_post,2000-04-15,2000-04-21,0.394675926,341,864,31
count_post,2000-04-15,2000-04-21,0.301149425,262,870,20
count_post,2000-04-22,2000-04-28,0.281675393,269,955,9
count_post,2000-04-22,2000-04-28,0.406926407,376,924,7
count_post,2000-04-22,2000-04-28,0.269662921,216,801,30
count_post,2000-04-22,2000-04-28,0.274409044,267,973,28
count_post,2000-04-22,2000-04-28,0.275970619,263,953,15
count_post,2000-04-22,2000-04-28,0.206861756,205,991,21
count_post,2000-04-22,2000-04-28,0.424274973,395,931,32
count_post,2000-04-22,2000-04-28,0.255567338,241,943,35
count_post,2000-04-22,2000-04-28,0.236458333,227,960,19
count_post,2000-04-22,2000-04-28,0.37248996,371,996,51
count_post,2000-04-22,2000-04-28,0.247191011,220,890,31
count_post,2000-04-22,2000-04-28,0.295454545,273,924,20
count_post,2000-04-29,2000-05-05,0.363525092,297,817,9
count_post,2000-04-29,2000-05-05,0.428924598,347,809,7
count_post,2000-04-29,2000-05-05,0.451414514,367,813,30
count_post,2000-04-29,2000-05-05,0.466744457,400,857,28
count_post,2000-04-29,2000-05-05,0.325732899,300,921,15
count_post,2000-04-29,2000-05-05,0.369905956,354,957,21
count_post,2000-04-29,2000-05-05,0.302696078,247,816,32
count_post,2000-04-29,2000-05-05,0.255972696,225,879,35
count_post,2000-04-29,2000-05-05,0.274336283,248,904,19
count_post,2000-04-29,2000-05-05,0.301010101,298,990,51
count_post,2000-04-29,2000-05-05,0.429223744,376,876,31
count_post,2000-04-29,2000-05-05,0.427464009,386,903,20
count_post,2000-05-06,2000-05-12,0.320337197,304,949,9
count_post,2000-05-06,2000-05-12,0.277310924,264,952,7
count_post,2000-05-06,2000-05-12,0.316529894,270,853,30
count_post,2000-05-06,2000-05-12,0.389390519,345,886,28
count_post,2000-05-06,2000-05-12,0.280683031,263,937,15
count_post,2000-05-06,2000-05-12,0.416666667,365,876,21
count_post,2000-05-06,2000-05-12,0.232606438,224,963,32
count_post,2000-05-06,2000-05-12,0.29273743,262,895,35
count_post,2000-05-06,2000-05-12,0.365591398,340,930,19
count_post,2000-05-06,2000-05-12,0.362449799,361,996,51
count_post,2000-05-06,2000-05-12,0.359793814,349,970,31
count_post,2000-05-06,2000-05-12,0.332995951,329,988,20
count_post,2000-05-13,2000-05-19,0.384982122,323,839,9
count_post,2000-05-13,2000-05-19,0.307692308,280,910,7
count_post,2000-05-13,2000-05-19,0.403885481,395,978,30
count_post,2000-05-13,2000-05-19,0.318324607,304,955,28
count_post,2000-05-13,2000-05-19,0.340882002,286,839,15
count_post,2000-05-13,2000-05-19,0.339412361,335,987,21
count_post,2000-05-13,2000-05-19,0.44013683,386,877,32
count_post,2000-05-13,2000-05-19,0.343315508,321,935,35
count_post,2000-05-13,2000-05-19,0.385844749,338,876,19
count_post,2000-05-13,2000-05-19,0.357218124,339,949,51
count_post,2000-05-13,2000-05-19,0.436194896,376,862,31
count_post,2000-05-13,2000-05-19,0.242761693,218,898,20
count_post,2000-05-20,2000-05-26,0.402325581,346,860,9
count_post,2000-05-20,2000-05-26,0.237102086,216,911,7
count_post,2000-05-20,2000-05-26,0.282021152,240,851,30
count_post,2000-05-20,2000-05-26,0.317159763,268,845,28
count_post,2000-05-20,2000-05-26,0.234067207,202,863,15
count_post,2000-05-20,2000-05-26,0.409944751,371,905,21
count_post,2000-05-20,2000-05-26,0.254672897,218,856,32
count_post,2000-05-20,2000-05-26,0.417927823,359,859,35
count_post,2000-05-20,2000-05-26,0.453070684,391,863,19
count_post,2000-05-20,2000-05-26,0.268829664,232,863,51
count_post,2000-05-20,2000-05-26,0.463054187,376,812,31
count_post,2000-05-20,2000-05-26,0.328824142,316,961,20
count_post,2000-05-27,2000-06-02,0.405940594,369,909,9
count_post,2000-05-27,2000-06-02,0.404589372,335,828,7
count_post,2000-05-27,2000-06-02,0.376767677,373,990,30
count_post,2000-05-27,2000-06-02,0.30804077,272,883,28
count_post,2000-05-27,2000-06-02,0.308823529,294,952,15
count_post,2000-05-27,2000-06-02,0.321852732,271,842,21
count_post,2000-05-27,2000-06-02,0.237385321,207,872,32
count_post,2000-05-27,2000-06-02,0.279445727,242,866,35
count_post,2000-05-27,2000-06-02,0.435185185,376,864,19
count_post,2000-05-27,2000-06-02,0.290322581,288,992,51
count_post,2000-05-27,2000-06-02,0.291860465,251,860,31
count_post,2000-05-27,2000-06-02,0.352,308,875,20
count_post,2000-06-03,2000-06-09,0.373493976,372,996,9
count_post,2000-06-03,2000-06-09,0.377277599,352,933,7
count_post,2000-06-03,2000-06-09,0.386652542,365,944,30
count_post,2000-06-03,2000-06-09,0.460992908,390,846,28
count_post,2000-06-03,2000-06-09,0.360995851,348,964,15
count_post,2000-06-03,2000-06-09,0.373276776,352,943,21
count_post,2000-06-03,2000-06-09,0.365878726,356,973,32
count_post,2000-06-03,2000-06-09,0.303092784,294,970,35
count_post,2000-06-03,2000-06-09,0.343337335,286,833,19
count_post,2000-06-03,2000-06-09,0.392111369,338,862,51
count_post,2000-06-03,2000-06-09,0.352722772,285,808,31
count_post,2000-06-03,2000-06-09,0.333670374,330,989,20
count_post,2000-06-10,2000-06-16,0.438787879,362,825,9
count_post,2000-06-10,2000-06-16,0.282586027,271,959,7
count_post,2000-06-10,2000-06-16,0.354618016,311,877,30
count_post,2000-06-10,2000-06-16,0.374337222,353,943,28
count_post,2000-06-10,2000-06-16,0.337701613,335,992,15
count_post,2000-06-10,2000-06-16,0.286214953,245,856,21
count_post,2000-06-10,2000-06-16,0.242324561,221,912,32
count_post,2000-06-10,2000-06-16,0.36097561,296,820,35
count_post,2000-06-10,2000-06-16,0.344,301,875,19
count_post,2000-06-10,2000-06-16,0.270136307,218,807,51
count_post,2000-06-10,2000-06-16,0.30718232,278,905,31
count_post,2000-06-10,2000-06-16,0.250614251,204,814,20
count_post,2000-06-17,2000-06-23,0.419354839,351,837,9
count_post,2000-06-17,2000-06-23,0.264705882,243,918,7
count_post,2000-06-17,2000-06-23,0.379166667,364,960,30
count_post,2000-06-17,2000-06-23,0.394673123,326,826,28
count_post,2000-06-17,2000-06-23,0.282632147,262,927,15
count_post,2000-06-17,2000-06-23,0.3997669,343,858,21
count_post,2000-06-17,2000-06-23,0.308793456,302,978,32
count_post,2000-06-17,2000-06-23,0.374709977,323,862,35
count_post,2000-06-17,2000-06-23,0.260768335,224,859,19
count_post,2000-06-17,2000-06-23,0.25245098,206,816,51
count_post,2000-06-17,2000-06-23,0.389989572,374,959,31
count_post,2000-06-17,2000-06-23,0.291497976,288,988,20
count_post,2000-06-24,2000-06-30,0.346855984,342,986,9
count_post,2000-06-24,2000-06-30,0.391741071,351,896,7
count_post,2000-06-24,2000-06-30,0.272818455,272,997,30
count_post,2000-06-24,2000-06-30,0.413095238,347,840,28
count_post,2000-06-24,2000-06-30,0.358913813,304,847,15
count_post,2000-06-24,2000-06-30,0.364476386,355,974,21
count_post,2000-06-24,2000-06-30,0.206153846,201,975,32
count_post,2000-06-24,2000-06-30,0.303571429,272,896,35
count_post,2000-06-24,2000-06-30,0.367276888,321,874,19
count_post,2000-06-24,2000-06-30,0.278494624,259,930,51
count_post,2000-06-24,2000-06-30,0.27752809,247,890,31
count_post,2000-06-24,2000-06-30,0.326844262,319,976,20
