measure,interval_start,interval_end,ratio,numerator,denominator,prior_opioid_rx,age_group,imd_decile
count_wait_imd,2000-01-08,2000-01-14,0.157575758,130,825,,,4
count_wait_imd,2000-01-08,2000-01-14,0.058448459,55,941,,,8
count_wait_imd,2000-01-08,2000-01-14,0.119312437,118,989,,,7
count_wait_imd,2000-01-08,2000-01-14,0.0969163,88,908,,,6
count_wait,2000-01-15,2000-01-21,0.141458107,130,919,,,
count_wait_prior,2000-01-15,2000-01-21,0.136919315,112,818,T,,
count_wait_prior,2000-01-15,2000-01-21,0.128364389,124,966,F,,
count_wait_age,2000-01-15,2000-01-21,0.109391125,106,969,,40-49,
count_wait_age,2000-01-15,2000-01-21,0.117827869,115,976,,18-39,
count_wait_age,2000-01-15,2000-01-21,0.156716418,147,938,,80+,
count_wait_age,2000-01-15,2000-01-21,0.077908218,73,937,,70-79,
count_wait_age,2000-01-15,2000-01-21,0.136568849,121,886,,60-69,
count_wait_age,2000-01-15,2000-01-21,0.087390762,70,801,,50-59,
count_wait_imd,2000-01-15,2000-01-21,0.080299786,75,934,,,Unknown
count_wait_imd,2000-01-15,2000-01-21,0.085452696,84,983,,,5
count_wait_imd,2000-01-15,2000-01-21,0.059395248,55,926,,,2
count_wait_imd,2000-01-15,2000-01-21,0.104761905,88,840,,,1 (most deprived)
count_wait_imd,2000-01-15,2000-01-21,0.078787879,78,990,,,9
count_wait_imd,2000-01-15,2000-01-21,0.139148494,134,963,,,3
count_wait_imd,2000-01-15,2000-01-21,0.110070258,94,854,,,10 (least deprived)
count_wait_imd,2000-01-15,2000-01-21,0.151279199,136,899,,,4
count_wait_imd,2000-01-15,2000-01-21,0.13710555,126,919,,,8
count_wait_imd,2000-01-15,2000-01-21,0.144859813,124,856,,,7
count_wait_imd,2000-01-15,2000-01-21,0.160493827,130,810,,,6
count_wait,2000-01-22,2000-01-28,0.080796253,69,854,,,
count_wait_prior,2000-01-22,2000-01-28,0.092175777,86,933,T,,
count_wait_prior,2000-01-22,2000-01-28,0.102833158,98,953,F,,
count_wait_age,2000-01-22,2000-01-28,0.103773585,88,848,,40-49,
count_wait_age,2000-01-22,2000-01-28,0.061440678,58,944,,18-39,
count_wait_age,2000-01-22,2000-01-28,0.08428246,74,878,,80+,
count_wait_age,2000-01-22,2000-01-28,0.086801427,73,841,,70-79,
count_wait_age,2000-01-22,2000-01-28,0.169875425,150,883,,60-69,
count_wait_age,2000-01-22,2000-01-28,0.176616915,142,804,,50-59,
count_wait_imd,2000-01-22,2000-01-28,0.110195675,107,971,,,Unknown
count_wait_imd,2000-01-22,2000-01-28,0.067857143,57,840,,,5
count_wait_imd,2000-01-22,2000-01-28,0.078893443,77,976,,,2
count_wait_imd,2000-01-22,2000-01-28,0.084474886,74,876,,,1 (most deprived)
count_wait_imd,2000-01-22,2000-01-28,0.113636364,95,836,,,9
count_wait_imd,2000-01-22,2000-01-28,0.067553736,66,977,,,3
count_wait_imd,2000-01-22,2000-01-28,0.099358974,93,936,,,10 (least deprived)
count_wait_imd,2000-01-22,2000-01-28,0.159250585,136,854,,,4
count_wait_imd,2000-01-22,2000-01-28,0.123995408,108,871,,,8
count_wait_imd,2000-01-22,2000-01-28,0.136550308,133,974,,,7
count_wait_imd,2000-01-22,2000-01-28,0.069478908,56,806,,,6
count_wait,2000-01-29,2000-02-04,0.106621773,95,891,,,
count_wait_prior,2000-01-29,2000-02-04,0.142857143,137,959,F,,
count_wait_prior,2000-01-29,2000-02-04,0.156282999,148,947,T,,
count_wait_age,2000-01-29,2000-02-04,0.167286245,135,807,,18-39,
count_wait_age,2000-01-29,2000-02-04,0.111111111,96,864,,80+,
count_wait_age,2000-01-29,2000-02-04,0.100113766,88,879,,40-49,
count_wait_age,2000-01-29,2000-02-04,0.168213457,145,862,,60-69,
count_wait_age,2000-01-29,2000-02-04,0.109947644,105,955,,50-59,
count_wait_age,2000-01-29,2000-02-04,0.103831891,84,809,,70-79,
count_wait_imd,2000-01-29,2000-02-04,0.115577889,115,995,,,Unknown
count_wait_imd,2000-01-29,2000-02-04,0.161490683,130,805,,,5
count_wait_imd,2000-01-29,2000-02-04,0.174418605,150,860,,,1 (most deprived)
count_wait_imd,2000-01-29,2000-02-04,0.111111111,96,864,,,9
count_wait_imd,2000-01-29,2000-02-04,0.16819222,147,874,,,3
count_wait_imd,2000-01-29,2000-02-04,0.150526316,143,950,,,10 (least deprived)
count_wait_imd,2000-01-29,2000-02-04,0.08411215,72,856,,,4
count_wait_imd,2000-01-29,2000-02-04,0.160434258,133,829,,,8
count_wait_imd,2000-01-29,2000-02-04,0.120689655,105,870,,,7
count_wait_imd,2000-01-29,2000-02-04,0.15199035,126,829,,,2
count_wait_imd,2000-01-29,2000-02-04,0.123915737,100,807,,,6
count_wait,2000-02-05,2000-02-11,0.081283422,76,935,,,
count_wait_prior,2000-02-05,2000-02-11,0.151774786,124,817,F,,
count_wait_prior,2000-02-05,2000-02-11,0.095669688,95,993,T,,
count_wait_age,2000-02-05,2000-02-11,0.084309133,72,854,,18-39,
count_wait_age,2000-02-05,2000-02-11,0.089089089,89,999,,80+,
count_wait_age,2000-02-05,2000-02-11,0.158068057,144,911,,40-49,
count_wait_age,2000-02-05,2000-02-11,0.124864278,115,921,,60-69,
count_wait_age,2000-02-05,2000-02-11,0.080808081,80,990,,50-59,
count_wait_age,2000-02-05,2000-02-11,0.09623431,92,956,,70-79,
count_wait_imd,2000-02-05,2000-02-11,0.114186851,99,867,,,Unknown
count_wait_imd,2000-02-05,2000-02-11,0.113265306,111,980,,,5
count_wait_imd,2000-02-05,2000-02-11,0.142536476,127,891,,,1 (most deprived)
count_wait_imd,2000-02-05,2000-02-11,0.075539568,63,834,,,9
count_wait_imd,2000-02-05,2000-02-11,0.130044843,116,892,,,3
count_wait_imd,2000-02-05,2000-02-11,0.139201638,136,977,,,10 (least deprived)
count_wait_imd,2000-02-05,2000-02-11,0.106455266,94,883,,,4
count_wait_imd,2000-02-05,2000-02-11,0.121787709,109,895,,,8
count_wait_imd,2000-02-05,2000-02-11,0.149484536,145,970,,,7
count_wait_imd,2000-02-05,2000-02-11,0.073022312,72,986,,,2
count_wait_imd,2000-02-05,2000-02-11,0.13487882,128,949,,,6
count_wait,2000-02-12,2000-02-18,0.079383886,67,844,,,
count_wait_prior,2000-02-12,2000-02-18,0.167420814,148,884,F,,
count_wait_prior,2000-02-12,2000-02-18,0.132733408,118,889,T,,
count_wait_age,2000-02-12,2000-02-18,0.120597652,113,937,,18-39,
count_wait_age,2000-02-12,2000-02-18,0.108577633,100,921,,80+,
count_wait_age,2000-02-12,2000-02-18,0.121863799,102,837,,40-49,
count_wait_age,2000-02-12,2000-02-18,0.126379137,126,997,,60-69,
count_wait_age,2000-02-12,2000-02-18,0.151199166,145,959,,50-59,
count_wait_age,2000-02-12,2000-02-18,0.061394381,59,961,,70-79,
count_wait_imd,2000-02-12,2000-02-18,0.100354191,85,847,,,Unknown
count_wait_imd,2000-02-12,2000-02-18,0.139558233,139,996,,,5
count_wait_imd,2000-02-12,2000-02-18,0.11205074,106,946,,,1 (most deprived)
count_wait_imd,2000-02-12,2000-02-18,0.123044838,118,959,,,9
count_wait_imd,2000-02-12,2000-02-18,0.060085837,56,932,,,10 (least deprived)
count_wait_imd,2000-02-12,2000-02-18,0.087739033,78,889,,,4
count_wait_imd,2000-02-12,2000-02-18,0.059275521,54,911,,,3
count_wait_imd,2000-02-12,2000-02-18,0.16286645,150,921,,,8
count_wait_imd,2000-02-12,2000-02-18,0.106007067,90,849,,,7
count_wait_imd,2000-02-12,2000-02-18,0.087583149,79,902,,,2
count_wait_imd,2000-02-12,2000-02-18,0.115183246,110,955,,,6
count_wait,2000-02-19,2000-02-25,0.073349633,60,818,,,
count_wait_prior,2000-02-19,2000-02-25,0.148514851,135,909,F,,
count_wait_prior,2000-02-19,2000-02-25,0.09059633,79,872,T,,
count_wait_age,2000-02-19,2000-02-25,0.101111111,91,900,,18-39,
count_wait_age,2000-02-19,2000-02-25,0.14084507,140,994,,80+,
count_wait_age,2000-02-19,2000-02-25,0.127681307,125,979,,40-49,
count_wait_age,2000-02-19,2000-02-25,0.076359833,73,956,,60-69,
count_wait_age,2000-02-19,2000-02-25,0.124362895,122,981,,50-59,
count_wait_age,2000-02-19,2000-02-25,0.138492872,136,982,,70-79,
count_wait_imd,2000-02-19,2000-02-25,0.078014184,77,987,,,Unknown
count_wait_imd,2000-02-19,2000-02-25,0.112454655,93,827,,,5
count_wait_imd,2000-02-19,2000-02-25,0.114320096,95,831,,,1 (most deprived)
count_wait_imd,2000-02-19,2000-02-25,0.096311475,94,976,,,9
count_wait_imd,2000-02-19,2000-02-25,0.126701571,121,955,,,10 (least deprived)
count_wait_imd,2000-02-19,2000-02-25,0.1401649,119,849,,,4
count_wait_imd,2000-02-19,2000-02-25,0.131198347,127,968,,,3
count_wait_imd,2000-02-19,2000-02-25,0.058685446,50,852,,,8
count_wait_imd,2000-02-19,2000-02-25,0.096385542,88,913,,,7
count_wait_imd,2000-02-19,2000-02-25,0.101280559,87,859,,,2
count_wait_imd,2000-02-19,2000-02-25,0.080530071,79,981,,,6
count_wait,2000-02-26,2000-03-03,0.077380952,65,840,,,
count_wait_prior,2000-02-26,2000-03-03,0.068043742,56,823,F,,
count_wait_prior,2000-02-26,2000-03-03,0.135167464,113,836,T,,
count_wait_age,2000-02-26,2000-03-03,0.121637427,104,855,,18-39,
count_wait_age,2000-02-26,2000-03-03,0.082706767,77,931,,80+,
count_wait_age,2000-02-26,2000-03-03,0.124485597,121,972,,40-49,
count_wait_age,2000-02-26,2000-03-03,0.109756098,99,902,,60-69,
count_wait_age,2000-02-26,2000-03-03,0.093886463,86,916,,50-59,
count_wait_age,2000-02-26,2000-03-03,0.139979859,139,993,,70-79,
count_wait_imd,2000-02-26,2000-03-03,0.118306351,95,803,,,Unknown
count_wait_imd,2000-02-26,2000-03-03,0.076496674,69,902,,,5
count_wait_imd,2000-02-26,2000-03-03,0.111346766,105,943,,,1 (most deprived)
count_wait_imd,2000-02-26,2000-03-03,0.088794926,84,946,,,9
count_wait_imd,2000-02-26,2000-03-03,0.066878981,63,942,,,10 (least deprived)
count_wait_imd,2000-02-26,2000-03-03,0.063572149,63,991,,,3
count_wait_imd,2000-02-26,2000-03-03,0.120958084,101,835,,,4
count_wait_imd,2000-02-26,2000-03-03,0.051975052,50,962,,,8
count_wait_imd,2000-02-26,2000-03-03,0.153142857,134,875,,,7
count_wait_imd,2000-02-26,2000-03-03,0.159402242,128,803,,,2
count_wait_imd,2000-02-26,2000-03-03,0.053248136,50,939,,,6
count_wait,2000-03-04,2000-03-10,0.113951012,107,939,,,
count_wait_prior,2000-03-04,2000-03-10,0.141798942,134,945,F,,
count_wait_prior,2000-03-04,2000-03-10,0.118790497,110,926,T,,
count_wait_age,2000-03-04,2000-03-10,0.062431544,57,913,,18-39,
count_wait_age,2000-03-04,2000-03-10,0.124293785,110,885,,80+,
count_wait_age,2000-03-04,2000-03-10,0.14882227,139,934,,40-49,
count_wait_age,2000-03-04,2000-03-10,0.130569948,126,965,,60-69,
count_wait_age,2000-03-04,2000-03-10,0.098510882,86,873,,50-59,
count_wait_age,2000-03-04,2000-03-10,0.154109589,135,876,,70-79,
count_wait_imd,2000-03-04,2000-03-10,0.158962796,141,887,,,Unknown
count_wait_imd,2000-03-04,2000-03-10,0.163265306,144,882,,,5
count_wait_imd,2000-03-04,2000-03-10,0.175609756,144,820,,,1 (most deprived)
count_wait_imd,2000-03-04,2000-03-10,0.143507973,126,878,,,9
count_wait_imd,2000-03-04,2000-03-10,0.123809524,104,840,,,10 (least deprived)
count_wait_imd,2000-03-04,2000-03-10,0.101321586,92,908,,,3
count_wait_imd,2000-03-04,2000-03-10,0.067027027,62,925,,,4
count_wait_imd,2000-03-04,2000-03-10,0.091940976,81,881,,,8
count_wait_imd,2000-03-04,2000-03-10,0.134490239,124,922,,,7
count_wait_imd,2000-03-04,2000-03-10,0.146733668,146,995,,,2
count_wait_imd,2000-03-04,2000-03-10,0.090909091,73,803,,,6
count_wait,2000-03-11,2000-03-17,0.077163712,74,959,,,
count_wait_prior,2000-03-11,2000-03-17,0.078071183,68,871,F,,
count_wait_prior,2000-03-11,2000-03-17,0.159014558,142,893,T,,
count_wait_age,2000-03-11,2000-03-17,0.079275198,70,883,,18-39,
count_wait_age,2000-03-11,2000-03-17,0.09281768,84,905,,80+,
count_wait_age,2000-03-11,2000-03-17,0.14684466,121,824,,40-49,
count_wait_age,2000-03-11,2000-03-17,0.057633974,57,989,,60-69,
count_wait_age,2000-03-11,2000-03-17,0.13473424,109,809,,50-59,
count_wait_age,2000-03-11,2000-03-17,0.1197411,111,927,,70-79,
count_wait_imd,2000-03-11,2000-03-17,0.072261072,62,858,,,Unknown
count_wait_imd,2000-03-11,2000-03-17,0.139737991,128,916,,,5
count_wait_imd,2000-03-11,2000-03-17,0.059063136,58,982,,,1 (most deprived)
count_wait_imd,2000-03-11,2000-03-17,0.096579477,96,994,,,9
count_wait_imd,2000-03-11,2000-03-17,0.13946281,135,968,,,10 (least deprived)
count_wait_imd,2000-03-11,2000-03-17,0.178526841,143,801,,,3
count_wait_imd,2000-03-11,2000-03-17,0.119294606,115,964,,,4
count_wait_imd,2000-03-11,2000-03-17,0.166871166,136,815,,,8
count_wait_imd,2000-03-11,2000-03-17,0.064362336,54,839,,,7
count_wait_imd,2000-03-11,2000-03-17,0.109375,105,960,,,2
count_wait_imd,2000-03-11,2000-03-17,0.126984127,112,882,,,6
count_wait,2000-03-18,2000-03-24,0.066285714,58,875,,,
count_wait_prior,2000-03-18,2000-03-24,0.058174524,58,997,F,,
count_wait_prior,2000-03-18,2000-03-24,0.084349593,83,984,T,,
count_wait_age,2000-03-18,2000-03-24,0.126984127,104,819,,18-39,
count_wait_age,2000-03-18,2000-03-24,0.116135663,113,973,,80+,
count_wait_age,2000-03-18,2000-03-24,0.066666667,62,930,,40-49,
count_wait_age,2000-03-18,2000-03-24,0.174346202,140,803,,60-69,
count_wait_age,2000-03-18,2000-03-24,0.104,91,875,,50-59,
count_wait_age,2000-03-18,2000-03-24,0.065968586,63,955,,70-79,
count_wait_imd,2000-03-18,2000-03-24,0.135048232,126,933,,,Unknown
count_wait_imd,2000-03-18,2000-03-24,0.13375,107,800,,,5
count_wait_imd,2000-03-18,2000-03-24,0.150802139,141,935,,,1 (most deprived)
count_wait_imd,2000-03-18,2000-03-24,0.070960699,65,916,,,9
count_wait_imd,2000-03-18,2000-03-24,0.120430108,112,930,,,10 (least deprived)
count_wait_imd,2000-03-18,2000-03-24,0.138185654,131,948,,,3
count_wait_imd,2000-03-18,2000-03-24,0.163341646,131,802,,,4
count_wait_imd,2000-03-18,2000-03-24,0.078828829,70,888,,,8
count_wait_imd,2000-03-18,2000-03-24,0.090382387,78,863,,,7
count_wait_imd,2000-03-18,2000-03-24,0.077856421,77,989,,,2
count_wait_imd,2000-03-18,2000-03-24,0.085620198,78,911,,,6
count_wait,2000-03-25,2000-03-31,0.151190476,127,840,,,
count_wait_prior,2000-03-25,2000-03-31,0.149176955,145,972,F,,
count_wait_prior,2000-03-25,2000-03-31,0.052415211,51,973,T,,
count_wait_age,2000-03-25,2000-03-31,0.11028632,104,943,,18-39,
count_wait_age,2000-03-25,2000-03-31,0.148984199,132,886,,80+,
count_wait_age,2000-03-25,2000-03-31,0.13220339,117,885,,40-49,
count_wait_age,2000-03-25,2000-03-31,0.058641975,57,972,,60-69,
count_wait_age,2000-03-25,2000-03-31,0.169300226,150,886,,50-59,
count_wait_age,2000-03-25,2000-03-31,0.108982036,91,835,,70-79,
count_wait_imd,2000-03-25,2000-03-31,0.113610799,101,889,,,Unknown
count_wait_imd,2000-03-25,2000-03-31,0.059777102,59,987,,,5
count_wait_imd,2000-03-25,2000-03-31,0.149646107,148,989,,,1 (most deprived)
count_wait_imd,2000-03-25,2000-03-31,0.186335404,150,805,,,9
count_wait_imd,2000-03-25,2000-03-31,0.085771948,85,991,,,10 (least deprived)
count_wait_imd,2000-03-25,2000-03-31,0.10718358,94,877,,,3
count_wait_imd,2000-03-25,2000-03-31,0.097802198,89,910,,,4
count_wait_imd,2000-03-25,2000-03-31,0.073908175,66,893,,,8
count_wait_imd,2000-03-25,2000-03-31,0.140591966,133,946,,,7
count_wait_imd,2000-03-25,2000-03-31,0.126595745,119,940,,,2
count_wait_imd,2000-03-25,2000-03-31,0.159302326,137,860,,,6
count_wait,2000-04-01,2000-04-07,0.085336538,71,832,,,
count_wait_prior,2000-04-01,2000-04-07,0.06937799,58,836,F,,
count_wait_prior,2000-04-01,2000-04-07,0.084607543,83,981,T,,
count_wait_age,2000-04-01,2000-04-07,0.107658158,97,901,,18-39,
count_wait_age,2000-04-01,2000-04-07,0.07442348,71,954,,40-49,
count_wait_age,2000-04-01,2000-04-07,0.132591093,131,988,,60-69,
count_wait_age,2000-04-01,2000-04-07,0.121580547,120,987,,50-59,
count_wait_age,2000-04-01,2000-04-07,0.060606061,60,990,,70-79,
count_wait_age,2000-04-01,2000-04-07,0.130170316,107,822,,80+,
count_wait_imd,2000-04-01,2000-04-07,0.07244898,71,980,,,Unknown
count_wait_imd,2000-04-01,2000-04-07,0.145218418,123,847,,,9
count_wait_imd,2000-04-01,2000-04-07,0.103950104,100,962,,,10 (least deprived)
count_wait_imd,2000-04-01,2000-04-07,0.133742331,109,815,,,3
count_wait_imd,2000-04-01,2000-04-07,0.15375447,129,839,,,4
count_wait_imd,2000-04-01,2000-04-07,0.124087591,102,822,,,8
count_wait_imd,2000-04-01,2000-04-07,0.074541284,65,872,,,7
count_wait_imd,2000-04-01,2000-04-07,0.131935882,107,811,,,2
count_wait_imd,2000-04-01,2000-04-07,0.146192893,144,985,,,5
count_wait_imd,2000-04-01,2000-04-07,0.108614232,87,801,,,6
count_wait_imd,2000-04-01,2000-04-07,0.104513064,88,842,,,1 (most deprived)
count_wait,2000-04-08,2000-04-14,0.099453552,91,915,,,
count_wait_prior,2000-04-08,2000-04-14,0.130434783,120,920,F,,
count_wait_prior,2000-04-08,2000-04-14,0.05257732,51,970,T,,
count_wait_age,2000-04-08,2000-04-14,0.096132597,87,905,,18-39,
count_wait_age,2000-04-08,2000-04-14,0.059649123,51,855,,40-49,
count_wait_age,2000-04-08,2000-04-14,0.097972973,87,888,,60-69,
count_wait_age,2000-04-08,2000-04-14,0.07938258,72,907,,50-59,
count_wait_age,2000-04-08,2000-04-14,0.155046826,149,961,,70-79,
count_wait_age,2000-04-08,2000-04-14,0.143360752,122,851,,80+,
count_wait_imd,2000-04-08,2000-04-14,0.084042553,79,940,,,Unknown
count_wait_imd,2000-04-08,2000-04-14,0.107642626,100,929,,,9
count_wait_imd,2000-04-08,2000-04-14,0.107897664,97,899,,,10 (least deprived)
count_wait_imd,2000-04-08,2000-04-14,0.119458128,97,812,,,3
count_wait_imd,2000-04-08,2000-04-14,0.157894737,138,874,,,4
count_wait_imd,2000-04-08,2000-04-14,0.094218415,88,934,,,8
count_wait_imd,2000-04-08,2000-04-14,0.15015015,150,999,,,7
count_wait_imd,2000-04-08,2000-04-14,0.15681544,130,829,,,2
count_wait_imd,2000-04-08,2000-04-14,0.057077626,50,876,,,5
count_wait_imd,2000-04-08,2000-04-14,0.078947368,78,988,,,6
count_wait_imd,2000-04-08,2000-04-14,0.084835631,80,943,,,1 (most deprived)
count_wait,2000-04-15,2000-04-21,0.148187633,139,938,,,
count_wait_prior,2000-04-15,2000-04-21,0.107675906,101,938,F,,
count_wait_prior,2000-04-15,2000-04-21,0.075789474,72,950,T,,
count_wait_age,2000-04-15,2000-04-21,0.128109453,103,804,,18-39,
count_wait_age,2000-04-15,2000-04-21,0.077205882,63,816,,40-49,
count_wait_age,2000-04-15,2000-04-21,0.099531616,85,854,,60-69,
count_wait_age,2000-04-15,2000-04-21,0.084874864,78,919,,50-59,
count_wait_age,2000-04-15,2000-04-21,0.066969353,59,881,,70-79,
count_wait_age,2000-04-15,2000-04-21,0.165048544,136,824,,80+,
count_wait_imd,2000-04-15,2000-04-21,0.054054054,52,962,,,Unknown
count_wait_imd,2000-04-15,2000-04-21,0.104887984,103,982,,,9
count_wait_imd,2000-04-15,2000-04-21,0.085875706,76,885,,,10 (least deprived)
count_wait_imd,2000-04-15,2000-04-21,0.140782123,126,895,,,3
count_wait_imd,2000-04-15,2000-04-21,0.136507937,129,945,,,4
count_wait_imd,2000-04-15,2000-04-21,0.061500615,50,813,,,8
count_wait_imd,2000-04-15,2000-04-21,0.117386489,106,903,,,7
count_wait_imd,2000-04-15,2000-04-21,0.105199516,87,827,,,2
count_wait_imd,2000-04-15,2000-04-21,0.094295693,81,859,,,5
count_wait_imd,2000-04-15,2000-04-21,0.13860252,121,873,,,6
count_wait_imd,2000-04-15,2000-04-21,0.069427527,57,821,,,1 (most deprived)
count_wait,2000-04-22,2000-04-28,0.093389297,89,953,,,
count_wait_prior,2000-04-22,2000-04-28,0.072765073,70,962,F,,
count_wait_prior,2000-04-22,2000-04-28,0.146186441,138,944,T,,
count_wait_age,2000-04-22,2000-04-28,0.121668598,105,863,,18-39,
count_wait_age,2000-04-22,2000-04-28,0.147613762,133,901,,40-49,
count_wait_age,2000-04-22,2000-04-28,0.084199584,81,962,,60-69,
count_wait_age,2000-04-22,2000-04-28,0.125,110,880,,50-59,
count_wait_age,2000-04-22,2000-04-28,0.097098214,87,896,,70-79,
count_wait_age,2000-04-22,2000-04-28,0.061104583,52,851,,80+,
count_wait_imd,2000-04-22,2000-04-28,0.056503198,53,938,,,Unknown
count_wait_imd,2000-04-22,2000-04-28,0.159653465,129,808,,,9
count_wait_imd,2000-04-22,2000-04-28,0.142162819,117,823,,,10 (least deprived)
count_wait_imd,2000-04-22,2000-04-28,0.166854566,148,887,,,3
count_wait_imd,2000-04-22,2000-04-28,0.137782562,128,929,,,4
count_wait_imd,2000-04-22,2000-04-28,0.089285714,80,896,,,8
count_wait_imd,2000-04-22,2000-04-28,0.060767591,57,938,,,7
count_wait_imd,2000-04-22,2000-04-28,0.12886049,121,939,,,2
count_wait_imd,2000-04-22,2000-04-28,0.108651911,108,994,,,5
count_wait_imd,2000-04-22,2000-04-28,0.109903382,91,828,,,6
count_wait_imd,2000-04-22,2000-04-28,0.08893485,86,967,,,1 (most deprived)
count_wait,2000-04-29,2000-05-05,0.08012487,77,961,,,
count_wait_prior,2000-04-29,2000-05-05,0.116683726,114,977,F,,
count_wait_prior,2000-04-29,2000-05-05,0.122933884,119,968,T,,
count_wait_age,2000-04-29,2000-05-05,0.057754011,54,935,,18-39,
count_wait_age,2000-04-29,2000-05-05,0.090389016,79,874,,40-49,
count_wait_age,2000-04-29,2000-05-05,0.08972973,83,925,,60-69,
count_wait_age,2000-04-29,2000-05-05,0.101234568,82,810,,50-59,
count_wait_age,2000-04-29,2000-05-05,0.177033493,148,836,,70-79,
count_wait_age,2000-04-29,2000-05-05,0.068155112,58,851,,80+,
count_wait_imd,2000-04-29,2000-05-05,0.079434168,73,919,,,Unknown
count_wait_imd,2000-04-29,2000-05-05,0.12966805,125,964,,,9
count_wait_imd,2000-04-29,2000-05-05,0.128094726,119,929,,,10 (least deprived)
count_wait_imd,2000-04-29,2000-05-05,0.142857143,132,924,,,3
count_wait_imd,2000-04-29,2000-05-05,0.121276596,114,940,,,4
count_wait_imd,2000-04-29,2000-05-05,0.143546441,119,829,,,8
count_wait_imd,2000-04-29,2000-05-05,0.167973124,150,893,,,7
count_wait_imd,2000-04-29,2000-05-05,0.066105769,55,832,,,2
count_wait_imd,2000-04-29,2000-05-05,0.129496403,126,973,,,5
count_wait_imd,2000-04-29,2000-05-05,0.104461371,96,919,,,6
count_wait_imd,2000-04-29,2000-05-05,0.149082569,130,872,,,1 (most deprived)
count_wait,2000-05-06,2000-05-12,0.14721346,140,951,,,
count_wait_prior,2000-05-06,2000-05-12,0.059023837,52,881,F,,
count_wait_prior,2000-05-06,2000-05-12,0.120750293,103,853,T,,
count_wait_age,2000-05-06,2000-05-12,0.11907387,108,907,,18-39,
count_wait_age,2000-05-06,2000-05-12,0.07173913,66,920,,40-49,
count_wait_age,2000-05-06,2000-05-12,0.147165259,122,829,,60-69,
count_wait_age,2000-05-06,2000-05-12,0.081201335,73,899,,50-59,
count_wait_age,2000-05-06,2000-05-12,0.066026411,55,833,,70-79,
count_wait_age,2000-05-06,2000-05-12,0.116480793,94,807,,80+,
count_wait_imd,2000-05-06,2000-05-12,0.156560088,142,907,,,Unknown
count_wait_imd,2000-05-06,2000-05-12,0.077012835,66,857,,,9
count_wait_imd,2000-05-06,2000-05-12,0.053,53,1000,,,10 (least deprived)
count_wait_imd,2000-05-06,2000-05-12,0.124463519,116,932,,,3
count_wait_imd,2000-05-06,2000-05-12,0.149553571,134,896,,,4
count_wait_imd,2000-05-06,2000-05-12,0.091880342,86,936,,,7
count_wait_imd,2000-05-06,2000-05-12,0.15719468,130,827,,,2
count_wait_imd,2000-05-06,2000-05-12,0.059907834,52,868,,,5
