measure,interval_start,interval_end,ratio,numerator,denominator,prior_opioid_rx,age_group,imd_decile,sex
count_pre_imd,2000-01-08,2000-01-14,0.322649573,302,936,,,10 (least deprived),
count_pre_imd,2000-01-08,2000-01-14,0.32474701,353,1087,,,4,
count_pre_imd,2000-01-08,2000-01-14,0.508230453,494,972,,,8,
count_pre_imd,2000-01-08,2000-01-14,0.435707678,471,1081,,,7,
count_pre_imd,2000-01-08,2000-01-14,0.45047619,473,1050,,,6,
count_pre_sex,2000-01-08,2000-01-14,0.348425197,354,1016,,,,female
count_pre_sex,2000-01-08,2000-01-14,0.43289225,458,1058,,,,male
count_pre,2000-01-15,2000-01-21,0.433270677,461,1064,,,,
count_pre_prior,2000-01-15,2000-01-21,0.407619048,428,1050,T,,,
count_pre_prior,2000-01-15,2000-01-21,0.252662149,261,1033,F,,,
count_pre_age,2000-01-15,2000-01-21,0.330861909,357,1079,,18-39,,
count_pre_age,2000-01-15,2000-01-21,0.397336293,358,901,,80+,,
count_pre_age,2000-01-15,2000-01-21,0.29290853,285,973,,70-79,,
count_pre_age,2000-01-15,2000-01-21,0.319695528,336,1051,,40-49,,
count_pre_age,2000-01-15,2000-01-21,0.248334919,261,1051,,60-69,,
count_pre_age,2000-01-15,2000-01-21,0.393638171,396,1006,,50-59,,
count_pre_imd,2000-01-15,2000-01-21,0.444856348,480,1079,,,Unknown,
count_pre_imd,2000-01-15,2000-01-21,0.332386364,351,1056,,,5,
count_pre_imd,2000-01-15,2000-01-21,0.405241935,402,992,,,2,
count_pre_imd,2000-01-15,2000-01-21,0.316888046,334,1054,,,1 (most deprived),
count_pre_imd,2000-01-15,2000-01-21,0.301204819,300,996,,,9,
count_pre_imd,2000-01-15,2000-01-21,0.257253385,266,1034,,,3,
count_pre_imd,2000-01-15,2000-01-21,0.359201774,324,902,,,10 (least deprived),
count_pre_imd,2000-01-15,2000-01-21,0.288362513,280,971,,,4,
count_pre_imd,2000-01-15,2000-01-21,0.241727941,263,1088,,,8,
count_pre_imd,2000-01-15,2000-01-21,0.387820513,363,936,,,7,
count_pre_imd,2000-01-15,2000-01-21,0.388943731,394,1013,,,6,
count_pre_sex,2000-01-15,2000-01-21,0.308678501,313,1014,,,,female
count_pre_sex,2000-01-15,2000-01-21,0.385099685,367,953,,,,male
count_pre,2000-01-22,2000-01-28,0.367129136,344,937,,,,
count_pre_prior,2000-01-22,2000-01-28,0.571264368,497,870,T,,,
count_pre_prior,2000-01-22,2000-01-28,0.383673469,376,980,F,,,
count_pre_age,2000-01-22,2000-01-28,0.497732426,439,882,,18-39,,
count_pre_age,2000-01-22,2000-01-28,0.353327085,377,1067,,80+,,
count_pre_age,2000-01-22,2000-01-28,0.340344168,356,1046,,70-79,,
count_pre_age,2000-01-22,2000-01-28,0.363372093,375,1032,,40-49,,
count_pre_age,2000-01-22,2000-01-28,0.30349345,278,916,,60-69,,
count_pre_age,2000-01-22,2000-01-28,0.260103627,251,965,,50-59,,
count_pre_imd,2000-01-22,2000-01-28,0.262672811,285,1085,,,Unknown,
count_pre_imd,2000-01-22,2000-01-28,0.311965812,292,936,,,5,
count_pre_imd,2000-01-22,2000-01-28,0.314508277,323,1027,,,2,
count_pre_imd,2000-01-22,2000-01-28,0.449514563,463,1030,,,1 (most deprived),
count_pre_imd,2000-01-22,2000-01-28,0.362754607,374,1031,,,9,
count_pre_imd,2000-01-22,2000-01-28,0.311188811,267,858,,,3,
count_pre_imd,2000-01-22,2000-01-28,0.276703967,272,983,,,10 (least deprived),
count_pre_imd,2000-01-22,2000-01-28,0.26369545,284,1077,,,4,
count_pre_imd,2000-01-22,2000-01-28,0.243293247,263,1081,,,8,
count_pre_imd,2000-01-22,2000-01-28,0.433217189,373,861,,,7,
count_pre_imd,2000-01-22,2000-01-28,0.400398406,402,1004,,,6,
count_pre_sex,2000-01-22,2000-01-28,0.289623717,254,877,,,,female
count_pre_sex,2000-01-22,2000-01-28,0.261811024,266,1016,,,,male
count_pre,2000-01-29,2000-02-04,0.375776398,363,966,,,,
count_pre_prior,2000-01-29,2000-02-04,0.429874572,377,877,T,,,
count_pre_prior,2000-01-29,2000-02-04,0.332552693,284,854,F,,,
count_pre_age,2000-01-29,2000-02-04,0.28604119,250,874,,18-39,,
count_pre_age,2000-01-29,2000-02-04,0.269467213,263,976,,80+,,
count_pre_age,2000-01-29,2000-02-04,0.576388889,498,864,,70-79,,
count_pre_age,2000-01-29,2000-02-04,0.446945338,417,933,,40-49,,
count_pre_age,2000-01-29,2000-02-04,0.375696767,337,897,,60-69,,
count_pre_age,2000-01-29,2000-02-04,0.462441315,394,852,,50-59,,
count_pre_imd,2000-01-29,2000-02-04,0.331422018,289,872,,,Unknown,
count_pre_imd,2000-01-29,2000-02-04,0.471607315,490,1039,,,5,
count_pre_imd,2000-01-29,2000-02-04,0.373231774,343,919,,,2,
count_pre_imd,2000-01-29,2000-02-04,0.30982659,268,865,,,1 (most deprived),
count_pre_imd,2000-01-29,2000-02-04,0.366445916,332,906,,,9,
count_pre_imd,2000-01-29,2000-02-04,0.344481605,309,897,,,3,
count_pre_imd,2000-01-29,2000-02-04,0.453874539,492,1084,,,10 (least deprived),
count_pre_imd,2000-01-29,2000-02-04,0.482954545,425,880,,,4,
count_pre_imd,2000-01-29,2000-02-04,0.373033708,332,890,,,8,
count_pre_imd,2000-01-29,2000-02-04,0.278520041,271,973,,,7,
count_pre_imd,2000-01-29,2000-02-04,0.350419385,376,1073,,,6,
count_pre_sex,2000-01-29,2000-02-04,0.326666667,343,1050,,,,female
count_pre_sex,2000-01-29,2000-02-04,0.408829175,426,1042,,,,male
count_pre,2000-02-05,2000-02-11,0.362970711,347,956,,,,
count_pre_prior,2000-02-05,2000-02-11,0.417794971,432,1034,T,,,
count_pre_prior,2000-02-05,2000-02-11,0.452286282,455,1006,F,,,
count_pre_age,2000-02-05,2000-02-11,0.492857143,483,980,,18-39,,
count_pre_age,2000-02-05,2000-02-11,0.4017769,407,1013,,80+,,
count_pre_age,2000-02-05,2000-02-11,0.51544196,484,939,,70-79,,
count_pre_age,2000-02-05,2000-02-11,0.303659743,307,1011,,40-49,,
count_pre_age,2000-02-05,2000-02-11,0.329379562,361,1096,,60-69,,
count_pre_age,2000-02-05,2000-02-11,0.424823411,421,991,,50-59,,
count_pre_imd,2000-02-05,2000-02-11,0.325791855,288,884,,,Unknown,
count_pre_imd,2000-02-05,2000-02-11,0.501026694,488,974,,,5,
count_pre_imd,2000-02-05,2000-02-11,0.413723512,410,991,,,2,
count_pre_imd,2000-02-05,2000-02-11,0.50974359,497,975,,,1 (most deprived),
count_pre_imd,2000-02-05,2000-02-11,0.446985447,430,962,,,9,
count_pre_imd,2000-02-05,2000-02-11,0.335886214,307,914,,,3,
count_pre_imd,2000-02-05,2000-02-11,0.328585961,323,983,,,10 (least deprived),
count_pre_imd,2000-02-05,2000-02-11,0.375600384,391,1041,,,4,
count_pre_imd,2000-02-05,2000-02-11,0.278937381,294,1054,,,8,
count_pre_imd,2000-02-05,2000-02-11,0.428571429,393,917,,,7,
count_pre_imd,2000-02-05,2000-02-11,0.380165289,414,1089,,,6,
count_pre_sex,2000-02-05,2000-02-11,0.414242728,413,997,,,,female
count_pre_sex,2000-02-05,2000-02-11,0.330812854,350,1058,,,,male
count_pre,2000-02-12,2000-02-18,0.427889207,448,1047,,,,
count_pre_prior,2000-02-12,2000-02-18,0.486013986,417,858,T,,,
count_pre_prior,2000-02-12,2000-02-18,0.342572062,309,902,F,,,
count_pre_age,2000-02-12,2000-02-18,0.344,301,875,,18-39,,
count_pre_age,2000-02-12,2000-02-18,0.386574074,334,864,,80+,,
count_pre_age,2000-02-12,2000-02-18,0.523706897,486,928,,70-79,,
count_pre_age,2000-02-12,2000-02-18,0.265120968,263,992,,40-49,,
count_pre_age,2000-02-12,2000-02-18,0.286821705,259,903,,60-69,,
count_pre_age,2000-02-12,2000-02-18,0.423764458,403,951,,50-59,,
count_pre_imd,2000-02-12,2000-02-18,0.263366337,266,1010,,,Unknown,
count_pre_imd,2000-02-12,2000-02-18,0.371401152,387,1042,,,5,
count_pre_imd,2000-02-12,2000-02-18,0.469667319,480,1022,,,2,
count_pre_imd,2000-02-12,2000-02-18,0.466475096,487,1044,,,1 (most deprived),
count_pre_imd,2000-02-12,2000-02-18,0.361396304,352,974,,,9,
count_pre_imd,2000-02-12,2000-02-18,0.308438409,318,1031,,,3,
count_pre_imd,2000-02-12,2000-02-18,0.258531541,250,967,,,10 (least deprived),
count_pre_imd,2000-02-12,2000-02-18,0.427565392,425,994,,,4,
count_pre_imd,2000-02-12,2000-02-18,0.418581419,419,1001,,,8,
count_pre_imd,2000-02-12,2000-02-18,0.451923077,470,1040,,,7,
count_pre_imd,2000-02-12,2000-02-18,0.387096774,372,961,,,6,
count_pre_sex,2000-02-12,2000-02-18,0.422737307,383,906,,,,female
count_pre_sex,2000-02-12,2000-02-18,0.409240924,372,909,,,,male
count_pre,2000-02-19,2000-02-25,0.329990884,362,1097,,,,
count_pre_prior,2000-02-19,2000-02-25,0.322769953,275,852,T,,,
count_pre_prior,2000-02-19,2000-02-25,0.303571429,323,1064,F,,,
count_pre_age,2000-02-19,2000-02-25,0.297528517,313,1052,,18-39,,
count_pre_age,2000-02-19,2000-02-25,0.316939891,348,1098,,80+,,
count_pre_age,2000-02-19,2000-02-25,0.25,266,1064,,70-79,,
count_pre_age,2000-02-19,2000-02-25,0.508438819,482,948,,40-49,,
count_pre_age,2000-02-19,2000-02-25,0.448156682,389,868,,60-69,,
count_pre_age,2000-02-19,2000-02-25,0.451759364,398,881,,50-59,,
count_pre_imd,2000-02-19,2000-02-25,0.485380117,498,1026,,,Unknown,
count_pre_imd,2000-02-19,2000-02-25,0.4168357,411,986,,,5,
count_pre_imd,2000-02-19,2000-02-25,0.287671233,252,876,,,2,
count_pre_imd,2000-02-19,2000-02-25,0.414549654,359,866,,,1 (most deprived),
count_pre_imd,2000-02-19,2000-02-25,0.481913652,413,857,,,9,
count_pre_imd,2000-02-19,2000-02-25,0.402733964,383,951,,,3,
count_pre_imd,2000-02-19,2000-02-25,0.347639485,324,932,,,10 (least deprived),
count_pre_imd,2000-02-19,2000-02-25,0.291525424,258,885,,,4,
count_pre_imd,2000-02-19,2000-02-25,0.435810811,387,888,,,8,
count_pre_imd,2000-02-19,2000-02-25,0.33366435,336,1007,,,7,
count_pre_imd,2000-02-19,2000-02-25,0.476047904,477,1002,,,6,
count_pre_sex,2000-02-19,2000-02-25,0.495859213,479,966,,,,female
count_pre_sex,2000-02-19,2000-02-25,0.256957328,277,1078,,,,male
count_pre,2000-02-26,2000-03-03,0.31682243,339,1070,,,,
count_pre_prior,2000-02-26,2000-03-03,0.405919662,384,946,T,,,
count_pre_prior,2000-02-26,2000-03-03,0.348232848,335,962,F,,,
count_pre_age,2000-02-26,2000-03-03,0.297487437,296,995,,18-39,,
count_pre_age,2000-02-26,2000-03-03,0.29135539,273,937,,80+,,
count_pre_age,2000-02-26,2000-03-03,0.340384615,354,1040,,70-79,,
count_pre_age,2000-02-26,2000-03-03,0.503171247,476,946,,40-49,,
count_pre_age,2000-02-26,2000-03-03,0.488,488,1000,,60-69,,
count_pre_age,2000-02-26,2000-03-03,0.476571429,417,875,,50-59,,
count_pre_imd,2000-02-26,2000-03-03,0.308740068,272,881,,,Unknown,
count_pre_imd,2000-02-26,2000-03-03,0.44858871,445,992,,,5,
count_pre_imd,2000-02-26,2000-03-03,0.416839917,401,962,,,2,
count_pre_imd,2000-02-26,2000-03-03,0.292571429,256,875,,,1 (most deprived),
count_pre_imd,2000-02-26,2000-03-03,0.404761905,442,1092,,,9,
count_pre_imd,2000-02-26,2000-03-03,0.353658537,319,902,,,3,
count_pre_imd,2000-02-26,2000-03-03,0.361970218,316,873,,,10 (least deprived),
count_pre_imd,2000-02-26,2000-03-03,0.265010352,256,966,,,4,
count_pre_imd,2000-02-26,2000-03-03,0.413983441,450,1087,,,8,
count_pre_imd,2000-02-26,2000-03-03,0.390625,400,1024,,,7,
count_pre_imd,2000-02-26,2000-03-03,0.311617807,287,921,,,6,
count_pre_sex,2000-02-26,2000-03-03,0.542528736,472,870,,,,female
count_pre_sex,2000-02-26,2000-03-03,0.318226601,323,1015,,,,male
count_pre,2000-03-04,2000-03-10,0.278873239,297,1065,,,,
count_pre_prior,2000-03-04,2000-03-10,0.470461869,438,931,T,,,
count_pre_prior,2000-03-04,2000-03-10,0.300876339,309,1027,F,,,
count_pre_age,2000-03-04,2000-03-10,0.372070313,381,1024,,18-39,,
count_pre_age,2000-03-04,2000-03-10,0.494517544,451,912,,80+,,
count_pre_age,2000-03-04,2000-03-10,0.497162316,438,881,,70-79,,
count_pre_age,2000-03-04,2000-03-10,0.388172043,361,930,,40-49,,
count_pre_age,2000-03-04,2000-03-10,0.343422584,295,859,,60-69,,
count_pre_age,2000-03-04,2000-03-10,0.277962348,251,903,,50-59,,
count_pre_imd,2000-03-04,2000-03-10,0.370774264,340,917,,,Unknown,
count_pre_imd,2000-03-04,2000-03-10,0.493914807,487,986,,,5,
count_pre_imd,2000-03-04,2000-03-10,0.383966245,364,948,,,2,
count_pre_imd,2000-03-04,2000-03-10,0.381221719,337,884,,,1 (most deprived),
count_pre_imd,2000-03-04,2000-03-10,0.449438202,480,1068,,,9,
count_pre_imd,2000-03-04,2000-03-10,0.350515464,306,873,,,3,
count_pre_imd,2000-03-04,2000-03-10,0.34103512,369,1082,,,10 (least deprived),
count_pre_imd,2000-03-04,2000-03-10,0.442348008,422,954,,,4,
count_pre_imd,2000-03-04,2000-03-10,0.328440367,358,1090,,,8,
count_pre_imd,2000-03-04,2000-03-10,0.323651452,312,964,,,7,
count_pre_imd,2000-03-04,2000-03-10,0.342799189,338,986,,,6,
count_pre_sex,2000-03-04,2000-03-10,0.381868132,417,1092,,,,female
count_pre_sex,2000-03-04,2000-03-10,0.456196581,427,936,,,,male
count_pre,2000-03-11,2000-03-17,0.372745491,372,998,,,,
count_pre_prior,2000-03-11,2000-03-17,0.38261851,339,886,T,,,
count_pre_prior,2000-03-11,2000-03-17,0.350636631,358,1021,F,,,
count_pre_age,2000-03-11,2000-03-17,0.430340557,417,969,,18-39,,
count_pre_age,2000-03-11,2000-03-17,0.323563892,276,853,,80+,,
count_pre_age,2000-03-11,2000-03-17,0.470398278,437,929,,70-79,,
count_pre_age,2000-03-11,2000-03-17,0.294063927,322,1095,,40-49,,
count_pre_age,2000-03-11,2000-03-17,0.393678161,411,1044,,60-69,,
count_pre_age,2000-03-11,2000-03-17,0.534090909,470,880,,50-59,,
count_pre_imd,2000-03-11,2000-03-17,0.243970315,263,1078,,,Unknown,
count_pre_imd,2000-03-11,2000-03-17,0.365149834,329,901,,,5,
count_pre_imd,2000-03-11,2000-03-17,0.568287037,491,864,,,2,
count_pre_imd,2000-03-11,2000-03-17,0.511337868,451,882,,,1 (most deprived),
count_pre_imd,2000-03-11,2000-03-17,0.363722697,383,1053,,,9,
count_pre_imd,2000-03-11,2000-03-17,0.378190255,326,862,,,3,
count_pre_imd,2000-03-11,2000-03-17,0.389655172,339,870,,,10 (least deprived),
count_pre_imd,2000-03-11,2000-03-17,0.305010893,280,918,,,4,
count_pre_imd,2000-03-11,2000-03-17,0.478401728,443,926,,,8,
count_pre_imd,2000-03-11,2000-03-17,0.369306931,373,1010,,,7,
count_pre_imd,2000-03-11,2000-03-17,0.322865554,329,1019,,,6,
count_pre_sex,2000-03-11,2000-03-17,0.403474903,418,1036,,,,female
count_pre_sex,2000-03-11,2000-03-17,0.445652174,451,1012,,,,male
count_pre,2000-03-18,2000-03-24,0.335632184,292,870,,,,
count_pre_prior,2000-03-18,2000-03-24,0.277599143,259,933,T,,,
count_pre_prior,2000-03-18,2000-03-24,0.505319149,475,940,F,,,
count_pre_age,2000-03-18,2000-03-24,0.285434995,292,1023,,18-39,,
count_pre_age,2000-03-18,2000-03-24,0.263602251,281,1066,,80+,,
count_pre_age,2000-03-18,2000-03-24,0.428730512,385,898,,70-79,,
count_pre_age,2000-03-18,2000-03-24,0.434741784,463,1065,,40-49,,
count_pre_age,2000-03-18,2000-03-24,0.418755803,451,1077,,60-69,,
count_pre_age,2000-03-18,2000-03-24,0.428174235,462,1079,,50-59,,
count_pre_imd,2000-03-18,2000-03-24,0.270909091,298,1100,,,Unknown,
count_pre_imd,2000-03-18,2000-03-24,0.320667285,346,1079,,,5,
count_pre_imd,2000-03-18,2000-03-24,0.382204247,378,989,,,2,
count_pre_imd,2000-03-18,2000-03-24,0.397003745,424,1068,,,1 (most deprived),
count_pre_imd,2000-03-18,2000-03-24,0.447949527,426,951,,,9,
count_pre_imd,2000-03-18,2000-03-24,0.410176532,395,963,,,3,
count_pre_imd,2000-03-18,2000-03-24,0.346341463,355,1025,,,10 (least deprived),
count_pre_imd,2000-03-18,2000-03-24,0.399009901,403,1010,,,4,
count_pre_imd,2000-03-18,2000-03-24,0.432432432,464,1073,,,8,
count_pre_imd,2000-03-18,2000-03-24,0.469714286,411,875,,,7,
count_pre_imd,2000-03-18,2000-03-24,0.332950631,290,871,,,6,
count_pre_sex,2000-03-18,2000-03-24,0.27032735,256,947,,,,female
count_pre_sex,2000-03-18,2000-03-24,0.355660377,377,1060,,,,male
count_pre,2000-03-25,2000-03-31,0.500564972,443,885,,,,
count_pre_prior,2000-03-25,2000-03-31,0.433149171,392,905,T,,,
count_pre_prior,2000-03-25,2000-03-31,0.340699816,370,1086,F,,,
count_pre_age,2000-03-25,2000-03-31,0.310786106,340,1094,,18-39,,
count_pre_age,2000-03-25,2000-03-31,0.35480859,380,1071,,80+,,
count_pre_age,2000-03-25,2000-03-31,0.372156506,409,1099,,70-79,,
count_pre_age,2000-03-25,2000-03-31,0.547149123,499,912,,40-49,,
count_pre_age,2000-03-25,2000-03-31,0.378159757,374,989,,60-69,,
count_pre_age,2000-03-25,2000-03-31,0.301478953,265,879,,50-59,,
count_pre_imd,2000-03-25,2000-03-31,0.267634855,258,964,,,Unknown,
count_pre_imd,2000-03-25,2000-03-31,0.360416667,346,960,,,5,
count_pre_imd,2000-03-25,2000-03-31,0.49789916,474,952,,,2,
count_pre_imd,2000-03-25,2000-03-31,0.364849833,328,899,,,1 (most deprived),
count_pre_imd,2000-03-25,2000-03-31,0.28950051,284,981,,,9,
count_pre_imd,2000-03-25,2000-03-31,0.308341143,329,1067,,,3,
count_pre_imd,2000-03-25,2000-03-31,0.381374723,344,902,,,10 (least deprived),
count_pre_imd,2000-03-25,2000-03-31,0.291875627,291,997,,,4,
count_pre_imd,2000-03-25,2000-03-31,0.375932836,403,1072,,,8,
count_pre_imd,2000-03-25,2000-03-31,0.447492904,473,1057,,,7,
count_pre_imd,2000-03-25,2000-03-31,0.422138837,450,1066,,,6,
count_pre_sex,2000-03-25,2000-03-31,0.254158965,275,1082,,,,female
count_pre_sex,2000-03-25,2000-03-31,0.385206532,401,1041,,,,male
count_pre,2000-04-01,2000-04-07,0.498392283,465,933,,,,
count_pre_prior,2000-04-01,2000-04-07,0.278030994,305,1097,T,,,
count_pre_prior,2000-04-01,2000-04-07,0.339953271,291,856,F,,,
count_pre_age,2000-04-01,2000-04-07,0.422857143,370,875,,18-39,,
count_pre_age,2000-04-01,2000-04-07,0.340063762,320,941,,80+,,
count_pre_age,2000-04-01,2000-04-07,0.332954545,293,880,,70-79,,
count_pre_age,2000-04-01,2000-04-07,0.348571429,305,875,,40-49,,
count_pre_age,2000-04-01,2000-04-07,0.349862259,381,1089,,60-69,,
count_pre_age,2000-04-01,2000-04-07,0.463514902,451,973,,50-59,,
count_pre_imd,2000-04-01,2000-04-07,0.388888889,378,972,,,Unknown,
count_pre_imd,2000-04-01,2000-04-07,0.489208633,476,973,,,5,
count_pre_imd,2000-04-01,2000-04-07,0.364624506,369,1012,,,2,
count_pre_imd,2000-04-01,2000-04-07,0.324324324,324,999,,,1 (most deprived),
count_pre_imd,2000-04-01,2000-04-07,0.290289256,281,968,,,9,
count_pre_imd,2000-04-01,2000-04-07,0.496240602,462,931,,,3,
count_pre_imd,2000-04-01,2000-04-07,0.394883204,355,899,,,10 (least deprived),
count_pre_imd,2000-04-01,2000-04-07,0.448351648,408,910,,,4,
count_pre_imd,2000-04-01,2000-04-07,0.287063267,304,1059,,,8,
count_pre_imd,2000-04-01,2000-04-07,0.390186916,334,856,,,7,
count_pre_imd,2000-04-01,2000-04-07,0.493534483,458,928,,,6,
count_pre_sex,2000-04-01,2000-04-07,0.398401826,349,876,,,,female
count_pre_sex,2000-04-01,2000-04-07,0.349187935,301,862,,,,male
count_pre,2000-04-08,2000-04-14,0.282817503,265,937,,,,
count_pre_prior,2000-04-08,2000-04-14,0.292883212,321,1096,T,,,
count_pre_prior,2000-04-08,2000-04-14,0.314923619,268,851,F,,,
count_pre_age,2000-04-08,2000-04-14,0.292563601,299,1022,,18-39,,
count_pre_age,2000-04-08,2000-04-14,0.282967033,309,1092,,80+,,
count_pre_age,2000-04-08,2000-04-14,0.353233831,355,1005,,70-79,,
count_pre_age,2000-04-08,2000-04-14,0.26641651,284,1066,,40-49,,
count_pre_age,2000-04-08,2000-04-14,0.36687631,350,954,,60-69,,
count_pre_age,2000-04-08,2000-04-14,0.267961165,276,1030,,50-59,,
count_pre_imd,2000-04-08,2000-04-14,0.428571429,429,1001,,,Unknown,
count_pre_imd,2000-04-08,2000-04-14,0.276437848,298,1078,,,5,
count_pre_imd,2000-04-08,2000-04-14,0.301282051,282,936,,,2,
count_pre_imd,2000-04-08,2000-04-14,0.29373246,314,1069,,,1 (most deprived),
count_pre_imd,2000-04-08,2000-04-14,0.351075878,310,883,,,9,
count_pre_imd,2000-04-08,2000-04-14,0.338851022,348,1027,,,3,
count_pre_imd,2000-04-08,2000-04-14,0.405642023,417,1028,,,10 (least deprived),
count_pre_imd,2000-04-08,2000-04-14,0.371004566,325,876,,,4,
count_pre_imd,2000-04-08,2000-04-14,0.426728111,463,1085,,,8,
count_pre_imd,2000-04-08,2000-04-14,0.441906653,445,1007,,,7,
count_pre_imd,2000-04-08,2000-04-14,0.524324324,485,925,,,6,
count_pre_sex,2000-04-08,2000-04-14,0.441121495,472,1070,,,,female
count_pre_sex,2000-04-08,2000-04-14,0.428403756,365,852,,,,male
count_pre,2000-04-15,2000-04-21,0.279296875,286,1024,,,,
count_pre_prior,2000-04-15,2000-04-21,0.364124597,339,931,T,,,
count_pre_prior,2000-04-15,2000-04-21,0.440797186,376,853,F,,,
count_pre_age,2000-04-15,2000-04-21,0.297543221,327,1099,,18-39,,
count_pre_age,2000-04-15,2000-04-21,0.461904762,485,1050,,80+,,
count_pre_age,2000-04-15,2000-04-21,0.331132075,351,1060,,70-79,,
count_pre_age,2000-04-15,2000-04-21,0.455696203,396,869,,40-49,,
count_pre_age,2000-04-15,2000-04-21,0.410589411,411,1001,,60-69,,
count_pre_age,2000-04-15,2000-04-21,0.448448448,448,999,,50-59,,
count_pre_imd,2000-04-15,2000-04-21,0.246816846,252,1021,,,Unknown,
count_pre_imd,2000-04-15,2000-04-21,0.388392857,348,896,,,5,
count_pre_imd,2000-04-15,2000-04-21,0.281516588,297,1055,,,2,
count_pre_imd,2000-04-15,2000-04-21,0.440782698,428,971,,,1 (most deprived),
count_pre_imd,2000-04-15,2000-04-21,0.33151184,364,1098,,,9,
count_pre_imd,2000-04-15,2000-04-21,0.308227115,266,863,,,3,
count_pre_imd,2000-04-15,2000-04-21,0.431074766,369,856,,,10 (least deprived),
count_pre_imd,2000-04-15,2000-04-21,0.492857143,483,980,,,4,
count_pre_imd,2000-04-15,2000-04-21,0.413755459,379,916,,,8,
count_pre_imd,2000-04-15,2000-04-21,0.361660079,366,1012,,,7,
count_pre_imd,2000-04-15,2000-04-21,0.335260116,290,865,,,6,
count_pre_sex,2000-04-15,2000-04-21,0.487700535,456,935,,,,female
count_pre_sex,2000-04-15,2000-04-21,0.361948956,312,862,,,,male
count_pre,2000-04-22,2000-04-28,0.460021906,420,913,,,,
count_pre_prior,2000-04-22,2000-04-28,0.323559151,320,989,T,,,
count_pre_prior,2000-04-22,2000-04-28,0.321232123,292,909,F,,,
count_pre_age,2000-04-22,2000-04-28,0.328316087,349,1063,,18-39,,
count_pre_age,2000-04-22,2000-04-28,0.327837051,338,1031,,80+,,
count_pre_age,2000-04-22,2000-04-28,0.351764706,299,850,,70-79,,
count_pre_age,2000-04-22,2000-04-28,0.302259887,321,1062,,40-49,,
count_pre_age,2000-04-22,2000-04-28,0.287777778,259,900,,60-69,,
count_pre_age,2000-04-22,2000-04-28,0.556179775,495,890,,50-59,,
count_pre_imd,2000-04-22,2000-04-28,0.313896987,323,1029,,,Unknown,
count_pre_imd,2000-04-22,2000-04-28,0.338618347,299,883,,,5,
count_pre_imd,2000-04-22,2000-04-28,0.311520737,338,1085,,,2,
